Order ID,Order Date,Customer Name,Customer Email,Product,Quantity,Price,Total
1000,2025-03-26,Amber Johnson,carlylee@example.net,Seem,4,178.49,713.96
1001,2025-03-26,Judith Turner,christophersummers@example.org,Product,2,28.02,56.04
1002,2025-03-26,Melissa Bishop,jacob86@example.org,Article,1,25.89,25.89
1003,2025-03-26,Todd Harding,rosejeffrey@example.org,Help,4,196.6,786.4
1004,2025-03-26,Steven Tate,xbutler@example.net,If,5,163.96,819.8000000000001
1005,2025-03-26,Richard Carrillo,osloan@example.net,Consumer,3,183.67,551.01
1006,2025-03-26,Sara Gould,longjames@example.com,Understand,1,34.56,34.56
1007,2025-03-26,Michael Davis,martin36@example.com,Later,4,127.23,508.92
1008,2025-03-26,Mrs. Emma Monroe,alyssalynch@example.org,One,1,26.82,26.82
1009,2025-03-26,Megan Jackson,danielroberts@example.com,With,5,44.17,220.85000000000002
1010,2025-03-26,Michelle Rose,alejandropennington@example.net,Magazine,1,130.01,130.01
